name,lat,lon,distance_to_coast_km
Dwaraka Nagar,17.7285947,83.3092963,2.2027579544986295
Jagadamba Junction,17.7123784,83.3030038,1.0903065250816897
Purna Market,17.7088855,83.2967268,1.2468814959465038
Old Post Office Area,17.6942369,83.292072,0.4271672407975527
One Town,17.6973752,83.2940245,0.49694820941378043
Siripuram Junction,17.7231385,83.3179482,1.1864150171860417
Railway New Colony,17.724682,83.2932869,1.770894291609611
Thatichetlapalem,17.7357588,83.2924808,2.8300957998310334
Boyapalem,17.7315878,83.2842431,2.2008291433701923
Kancharapalem,17.7368418,83.2702758,2.6568238234199772
L.B Nagar,17.7395416,83.2726665,2.9642679146449527
Marripalem,17.7423799,83.2461159,3.8569522875375886
NAD Colony,17.7363584,83.2340851,4.149950741488703
Rural Gopalapatnam,17.7184519,83.2061062,6.028594420206203
Sheela Nagar,17.7196435,83.2010435,6.579198409361935
Auto Nagar,17.6911791,83.1867562,8.174841983653716
New Gajuwaka,17.6907692,83.2118695,5.587265988883287
Kunchamamba Colony,17.6878044,83.1943481,7.4676812045720276
Vinayaka Nagar,17.6750267,83.1972633,6.402400465243056
Kurmannapalem,17.6866692,83.1694567,9.291303774077258
Duvvada,17.7006884,83.1549844,11.39535476199087
Adavivaram,17.7821934,83.2659484,7.709060481396463
Mudsarlova,17.7634206,83.3028439,5.11326253520031
Arilova Colony,17.7691772,83.3077023,4.9665870816653195
Adarsh Nagar,17.7639789,83.3326463,2.363675428846394
Sagar Nagar,17.7664367,83.3567949,0.6390930434810558
Srinivasa Nagar,17.7789679,83.364605,1.4258134296475953
Pedda Rushikonda,17.8013229,83.3891224,0.787565135822233
Varahagiri Colony,17.9203573,83.4217572,4.2514536472816555
Akkayyapalem,17.7381861,83.2991551,3.372298072394716
Andhra Kesari Nagar,17.7448432,83.245017,4.152985166865525
Netaji Colony,17.7458785,83.2407785,4.482311000304533
Madhavadhara,17.747455,83.2592912,3.9628120070041586
Seethammadara,17.7433159,83.3063183,3.744765298119847
